Auto-Generated Report (Modified K-Means Algorithm with three clusters)
Total Records: 4922
Total Clusters: 3
Most-Relevant: 72(1.46%)
Relevant: 4326(87.89%)
Irrelevant: 524(10.65%)
Total Iteration: 25
Time taken: 0.53 seconds

-----------------------------------------------------------
Cluster 	| RanK 			| Channel Name
Relevant 		|605th			| Lele Pons
Relevant 		|606th			| ??????? ?? / Levushka TV
Relevant 		|607th			| Kids Fun
Relevant 		|608th			| Na CorreRia
Relevant 		|609th			| Lahari Music | T-Series
Relevant 		|612th			| Nirahua Music World
Relevant 		|613th			| Sonotek Sapna Official
Relevant 		|617th			| Tasty
Relevant 		|618th			| Indosiar
Relevant 		|619th			| Marco Flores Y La Jerez
Relevant 		|620th			| naarkw ???
Relevant 		|621st			| Izabela Stress
Relevant 		|622nd			| AdMe.ru - ???? ?…
Relevant 		|623rd			| Diogo Lopes
Relevant 		|624th			| TV Thunder Official
Relevant 		|625th			| ChildishGambinoVEVO
Relevant 		|627th			| Mor Music
Relevant 		|629th			| cocoz toon
Relevant 		|630th			| Flashback FM
Relevant 		|632nd			| Erkenci Ku?
Relevant 		|633rd			| kev
Relevant 		|635th			| Ya - Alisa
Relevant 		|636th			| TRANS7 OFFICIAL
Relevant 		|640th			| Cole&Sav
Relevant 		|641st			| Latina.pe
Relevant 		|642nd			| Home Bollywud
Relevant 		|645th			| ????? ??????
Relevant 		|646th			| Wish 107.5
Relevant 		|647th			| Super Polina Play
Relevant 		|648th			| AtimeOnline
Relevant 		|650th			| Little Angel: Nursery Rhymes & Kids…
Relevant 		|653rd			| Hindi Fairy Tales
Relevant 		|655th			| Len Ken
Relevant 		|656th			| ANTV - Truy?n hình Công an…
Relevant 		|658th			| La Rosa De Guadalupe
Relevant 		|660th			| Telemundo Novelas
Relevant 		|661st			| ???? ????? BURAQ MEDIA
Relevant 		|662nd			| ??????????…
Relevant 		|663rd			| Ceylin - H Official
Relevant 		|664th			| Brianna's Secret Club TH
Relevant 		|665th			| Donna the Explorer
Relevant 		|667th			| ????TV
Relevant 		|669th			| KOLLYWOOD MOVIES
Relevant 		|670th			| Coke Studio
Relevant 		|671st			| Projeto Cartoon
Relevant 		|672nd			| Clubinho da Laura
Relevant 		|673rd			| MBCClassic
Relevant 		|674th			| O Reino das Crianças
Relevant 		|675th			| Toy Wizard [?????]
Relevant 		|677th			| KSIvsLogan
Relevant 		|678th			| SAS-ASMR
Relevant 		|679th			| MrBeanCartoonGames
Relevant 		|680th			| GRM Daily
Relevant 		|681st			| Shot of The Yeagers
Relevant 		|682nd			| Julia MineGirl
Relevant 		|685th			| Zig & Sharko
Relevant 		|686th			| DIEN QUAN Entertainment / Gi?i…
Relevant 		|688th			| Vinamilk
Relevant 		|689th			| Kids Labo TV
Relevant 		|690th			| Me contro Te
Relevant 		|692nd			| HAR PAL GEO
Relevant 		|693rd			| Funny Cars & Toys
Relevant 		|694th			| WhenGamersFail ? Lyon
Relevant 		|695th			| ??? [VyacheslavOO]
Relevant 		|696th			| GamingWithKev
Relevant 		|698th			| WB Kids
Relevant 		|699th			| hamaarbhojpuri
Relevant 		|701st			| Tareq Qar
Relevant 		|702nd			| Pen Movies
Relevant 		|703rd			| JP Plays
Relevant 		|704th			| TWO SUPER SISTERS
Relevant 		|706th			| Its JoJo Siwa
Relevant 		|708th			| NTV Telugu
Relevant 		|709th			| Troom Troom Es
Relevant 		|710th			| SamsungIndia
Relevant 		|711th			| Two Players One Console
Relevant 		|712th			| Discovery Kids
Relevant 		|713th			| Chim Xinh Channel
Relevant 		|714th			| Surya Citra Televisi (SCTV)
Relevant 		|715th			| OfficialWhiteMusic
Relevant 		|716th			| truTV
Relevant 		|717th			| BIBI TV
Relevant 		|718th			| RCM Bhojpuri Hit
Relevant 		|719th			| THVL Phim
Relevant 		|720th			| América Televisión - Novelas
Relevant 		|722nd			| TMG Record Channel
Relevant 		|723rd			| DC Kids
Relevant 		|725th			| PostMaloneVEVO
Relevant 		|726th			| JonasBlueVEVO
Relevant 		|727th			| Samsung Vietnam
Relevant 		|729th			| Talking Angela
Relevant 		|731st			| Jass Records
Relevant 		|732nd			| Tube Unique Wilderness
Relevant 		|733rd			| Alhayah Series TV
Relevant 		|734th			| Chespirito y sus Amigos
Relevant 		|737th			| Mê Phim
Relevant 		|738th			| Zee Music Classic
Relevant 		|739th			| ??????????????…
Relevant 		|740th			| SilvestreDangondVEVO
Relevant 		|741st			| tvnpl
Relevant 		|742nd			| Albin Lekhove.
Relevant 		|743rd			| Satisfy Channel
Relevant 		|745th			| Life with Brothers
Relevant 		|747th			| LIFE VÍDEOS E FOTOS
Relevant 		|748th			| Aoffy Maxim
Relevant 		|751st			| ??? (?? ?????)
Relevant 		|752nd			| BB Ki Vines
Relevant 		|754th			| ????? SweetTV
Relevant 		|755th			| Pen Multiplex
Relevant 		|756th			| ???? ?? ???????
Relevant 		|757th			| Vy Qwaint
Relevant 		|760th			| ZEE 24 TAAS
Relevant 		|761st			| ????? ?????? Music…
Relevant 		|764th			| MovieCon Animation
Relevant 		|765th			| C.A.F - Children And Families
Relevant 		|767th			| Lazada Thailand
Relevant 		|770th			| Gato Galactico
Relevant 		|772nd			| MoratVEVO
Relevant 		|773rd			| James Charles
Relevant 		|774th			| AlHayah TV Network
Relevant 		|776th			| Trimurti
Relevant 		|777th			| Planeta das Gêmeas
Relevant 		|780th			| Renato Garcia
Relevant 		|782nd			| ????????? Ms Yeah…
Relevant 		|784th			| WamIndia Movie Talkies
Relevant 		|785th			| Mango Music
Relevant 		|787th			| Boys and Toys
Relevant 		|788th			| HPLUS Films
Relevant 		|789th			| Follow Me
Relevant 		|790th			| Google Indonesia
Relevant 		|791st			| Lokdhun Punjabi
Relevant 		|792nd			| Thuy Nga
Relevant 		|793rd			| IMPERIA
Relevant 		|795th			| JTBC Drama
Relevant 		|796th			| Thibaan Channel
Relevant 		|797th			| ???????(Naaachannel)
Relevant 		|798th			| infobells - Tamil
Relevant 		|799th			| ?????[SeoeunStory]
Relevant 		|800th			| Wave Music - Bhakti
Relevant 		|801st			| ToyMart TV
Relevant 		|802nd			| Bela Bagunça
Relevant 		|803rd			| Sony AATH
Relevant 		|804th			| WildBrain en Español
Relevant 		|805th			| Solnishkam
Relevant 		|806th			| UnspeakableGaming
Relevant 		|807th			| Ameli TVIT
Relevant 		|808th			| Music Nepal
Relevant 		|810th			| VTC1 - Tin t?c
Relevant 		|813th			| NBA LeB
Relevant 		|814th			| The Shiny Peanut
Relevant 		|815th			| Caracol Televisión
Relevant 		|816th			| PHD Troll
Relevant 		|817th			| TVCHOSUN
Relevant 		|819th			| AP International
Relevant 		|820th			| Official Sabyan gambus
Relevant 		|821st			| Tokek
Relevant 		|822nd			| Rathore Cassettes
Relevant 		|825th			| M2
Relevant 		|826th			| Comedy Wale
Relevant 		|827th			| Learn Colors with Guka
Relevant 		|828th			| Larva TUBA
Relevant 		|829th			| Aqua
Relevant 		|830th			| PetitGarçon Adam
Relevant 		|833rd			| ONE Media
Relevant 		|834th			| The World Adventures…
Relevant 		|837th			| ImediaSeries | ?? ?????…
Relevant 		|838th			| Venus Bhojpuri
Relevant 		|840th			| DANIEL EL TRAVIESO VIDEOS
Relevant 		|842nd			| ??????? ??…
Relevant 		|845th			| Vidéos Drôles
Relevant 		|846th			| ABP Majha
Relevant 		|847th			| Tik Tok
Relevant 		|849th			| Sarthak Music
Relevant 		|850th			| Oh Long Johnson
Relevant 		|851st			| 5 DAK?KADA HALLET
Relevant 		|852nd			| hollywoodclips22
Relevant 		|853rd			| Masha e o Urso
Relevant 		|854th			| Ambey Bhakti
Relevant 		|855th			| ???? ????
Relevant 		|856th			| o SHOW o
